CustomerId,Sell,Name,Sex,Age,Sib_Sp,Par_ch,Cost,Delivery Channel,Payment,city
50,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,1,0,17.8,,S,Helsinki
51,0,"Panula, Master. Juha Niilo",male,7,4,1,39.6875,,S,Helsinki
52,0,"Nosworthy, Mr. Richard Cater",male,21,0,0,7.8,,S,Helsinki
53,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,0,76.7292,D33,C,Tampere
54,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,1,0,26,,S,Pori
55,0,"Ostby, Mr. Engelhart Cornelius",male,65,0,1,61.9792,B30,C,Tampere
56,1,"Woolner, Mr. Hugh",male,NA,0,0,35.5,C52,S,Tampere
57,1,"Rugg, Miss. Emily",female,21,0,0,10.5,,S,Pori
58,0,"Novel, Mr. Mansouer",male,28.5,0,0,7.2292,,C,Helsinki
59,1,"West, Miss. Constance Mirium",female,5,1,2,27.75,,S,Pori
60,0,"Goodwin, Master. William Frederick",male,11,5,2,46.9,,S,Helsinki
61,0,"Sirayanian, Mr. Orsen",male,22,0,0,7.2292,,C,Helsinki
62,1,"Icard, Miss. Amelie",female,38,0,0,80,B28,,Tampere
63,0,"Harris, Mr. Henry Birkhardt",male,45,1,0,83.475,C83,S,Tampere
64,0,"Skoog, Master. Harald",male,4,3,2,27.9,,S,Helsinki
65,0,"Stewart, Mr. Albert A",male,NA,0,0,27.7208,,C,Tampere
66,1,"Moubarek, Master. Gerios",male,NA,1,1,15.2458,,C,Helsinki
67,1,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,0,10.5,F33,S,Pori
68,0,"Crease, Mr. Ernest James",male,19,0,0,8.1583,,S,Helsinki
69,1,"Andersson, Miss. Erna Alexandra",female,17,4,2,7.925,,S,Helsinki
70,0,"Kink, Mr. Vincenz",male,26,2,0,8.6625,,S,Helsinki
71,0,"Jenkin, Mr. Stephen Curnow",male,32,0,0,10.5,,S,Pori
72,0,"Goodwin, Miss. Lillian Amy",female,16,5,2,46.9,,S,Helsinki
73,0,"Hood, Mr. Ambrose Jr",male,21,0,0,73.5,,S,Pori
74,0,"Chronopoulos, Mr. Apostolos",male,26,1,0,14.4542,,C,Helsinki
75,1,"Bing, Mr. Lee",male,32,0,0,56.4958,,S,Helsinki
76,0,"Moen, Mr. Sigurd Hansen",male,25,0,0,7.65,F G73,S,Helsinki
77,0,"Staneff, Mr. Ivan",male,NA,0,0,7.8958,,S,Helsinki
78,0,"Moutal, Mr. Rahamin Haim",male,NA,0,0,8.05,,S,Helsinki
79,1,"Caldwell, Master. Alden Gates",male,0.83,0,2,29,,S,Pori
80,1,"Dowdell, Miss. Elizabeth",female,30,0,0,12.475,,S,Helsinki
81,0,"Waelens, Mr. Achille",male,22,0,0,9,,S,Helsinki
82,1,"Sheerlinck, Mr. Jan Baptist",male,29,0,0,9.5,,S,Helsinki
83,1,"McDermott, Miss. Brigdet Delia",female,NA,0,0,7.7875,,Q,Helsinki
84,0,"Carrau, Mr. Francisco M",male,28,0,0,47.1,,S,Tampere
85,1,"Ilett, Miss. Bertha",female,17,0,0,10.5,,S,Pori
86,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3,0,15.85,,S,Helsinki
87,0,"Ford, Mr. William Neal",male,16,1,3,34.375,,S,Helsinki
88,0,"Slocovski, Mr. Selman Francis",male,NA,0,0,8.05,,S,Helsinki
89,1,"Fortune, Miss. Mabel Helen",female,23,3,2,263,C23 C25 C27,S,Tampere
90,0,"Celotti, Mr. Francesco",male,24,0,0,8.05,,S,Helsinki
91,0,"Christmann, Mr. Emil",male,29,0,0,8.05,,S,Helsinki
92,0,"Andreasson, Mr. Paul Edvin",male,20,0,0,7.8542,,S,Helsinki
93,0,"Chaffee, Mr. Herbert Fuller",male,46,1,0,61.175,E31,S,Tampere
94,0,"Dean, Mr. Bertram Frank",male,26,1,2,20.575,,S,Helsinki
95,0,"Coxon, Mr. Daniel",male,59,0,0,7.25,,S,Helsinki
96,0,"Shorney, Mr. Charles Joseph",male,NA,0,0,8.05,,S,Helsinki
97,0,"Goldschmidt, Mr. George B",male,71,0,0,34.6542,A5,C,Tampere
98,1,"Greenfield, Mr. William Bertram",male,23,0,1,63.3583,D10 D12,C,Tampere
99,1,"Doling, Mrs. John T (Ada Julia Bone)",female,34,0,1,23,,S,Pori
100,0,"Kantor, Mr. Sinai",male,34,1,0,26,,S,Pori
101,0,"Petranec, Miss. Matilda",female,28,0,0,7.8958,,S,Helsinki
102,0,"Petroff, Mr. Pastcho (""Pentcho"")",male,NA,0,0,7.8958,,S,Helsinki
103,0,"White, Mr. Richard Frasar",male,21,0,1,77.2875,D26,S,Tampere
104,0,"Johansson, Mr. Gustaf Joel",male,33,0,0,8.6542,,S,Helsinki
105,0,"Gustafsson, Mr. Anders Vilhelm",male,37,2,0,7.925,,S,Helsinki
106,0,"Mionoff, Mr. Stoytcho",male,28,0,0,7.8958,,S,Helsinki
107,1,"Salkjelsvik, Miss. Anna Kristine",female,21,0,0,7.65,,S,Helsinki
108,1,"Moss, Mr. Albert Johan",male,NA,0,0,7.775,,S,Helsinki
109,0,"Rekic, Mr. Tido",male,38,0,0,7.8958,,S,Helsinki
110,1,"Moran, Miss. Bertha",female,NA,1,0,24.15,,Q,Helsinki
111,0,"Porter, Mr. Walter Chamberlain",male,47,0,0,52,C110,S,Tampere
112,0,"Zabour, Miss. Hileni",female,14.5,1,0,14.4542,,C,Helsinki
113,0,"Barton, Mr. David John",male,22,0,0,8.05,,S,Helsinki
114,0,"Jussila, Miss. Katriina",female,20,1,0,9.825,,S,Helsinki
115,0,"Attalah, Miss. Malake",female,17,0,0,14.4583,,C,Helsinki
116,0,"Pekoniemi, Mr. Edvard",male,21,0,0,7.925,,S,Helsinki
117,0,"Connors, Mr. Patrick",male,70.5,0,0,7.75,,Q,Helsinki
118,0,"Turpin, Mr. William John Robert",male,29,1,0,21,,S,Pori
119,0,"Baxter, Mr. Quigg Edmond",male,24,0,1,247.5208,B58 B60,C,Tampere
120,0,"Andersson, Miss. Ellis Anna Maria",female,2,4,2,31.275,,S,Helsinki
121,0,"Hickman, Mr. Stanley George",male,21,2,0,73.5,,S,Pori
122,0,"Moore, Mr. Leonard Charles",male,NA,0,0,8.05,,S,Helsinki
123,0,"Nasser, Mr. Nicholas",male,32.5,1,0,30.0708,,C,Pori
124,1,"Webber, Miss. Susan",female,32.5,0,0,13,E101,S,Pori
125,0,"White, Mr. Percival Wayland",male,54,0,1,77.2875,D26,S,Tampere
126,1,"Nicola-Yarred, Master. Elias",male,12,1,0,11.2417,,C,Helsinki
127,0,"McMahon, Mr. Martin",male,NA,0,0,7.75,,Q,Helsinki
128,1,"Madsen, Mr. Fridtjof Arne",male,24,0,0,7.1417,,S,Helsinki
129,1,"Peter, Miss. Anna",female,NA,1,1,22.3583,F E69,C,Helsinki
130,0,"Ekstrom, Mr. Johan",male,45,0,0,6.975,,S,Helsinki
131,0,"Drazenoic, Mr. Jozef",male,33,0,0,7.8958,,C,Helsinki
132,0,"Coelho, Mr. Domingos Fernandeo",male,20,0,0,7.05,,S,Helsinki
133,0,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,1,0,14.5,,S,Helsinki
134,1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,1,0,26,,S,Pori
135,0,"Sobey, Mr. Samuel James Hayden",male,25,0,0,13,,S,Pori
136,0,"Richard, Mr. Emile",male,23,0,0,15.0458,,C,Pori
137,1,"Newsom, Miss. Helen Monypeny",female,19,0,2,26.2833,D47,S,Tampere
138,0,"Futrelle, Mr. Jacques Heath",male,37,1,0,53.1,C123,S,Tampere
139,0,"Osen, Mr. Olaf Elon",male,16,0,0,9.2167,,S,Helsinki
140,0,"Giglio, Mr. Victor",male,24,0,0,79.2,B86,C,Tampere
141,0,"Boulos, Mrs. Joseph (Sultana)",female,NA,0,2,15.2458,,C,Helsinki
142,1,"Nysten, Miss. Anna Sofia",female,22,0,0,7.75,,S,Helsinki
143,1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,1,0,15.85,,S,Helsinki
144,0,"Burke, Mr. Jeremiah",male,19,0,0,6.75,,Q,Helsinki
145,0,"Andrew, Mr. Edgardo Samuel",male,18,0,0,11.5,,S,Pori
146,0,"Nicholls, Mr. Joseph Charles",male,19,1,1,36.75,,S,Pori
147,1,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,0,0,7.7958,,S,Helsinki
148,0,"Ford, Miss. Robina Maggie ""Ruby""",female,9,2,2,34.375,,S,Helsinki
149,0,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,26,F2,S,Pori
150,0,"Byles, Rev. Thomas Roussel Davids",male,42,0,0,13,,S,Pori
151,0,"Bateman, Rev. Robert James",male,51,0,0,12.525,,S,Pori
152,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0,66.6,C2,S,Tampere
153,0,"Meo, Mr. Alfonzo",male,55.5,0,0,8.05,,S,Helsinki
154,0,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,14.5,,S,Helsinki
155,0,"Olsen, Mr. Ole Martin",male,NA,0,0,7.3125,,S,Helsinki
156,0,"Williams, Mr. Charles Duane",male,51,0,1,61.3792,,C,Tampere
157,1,"Gilnagh, Miss. Katherine ""Katie""",female,16,0,0,7.7333,,Q,Helsinki
158,0,"Corn, Mr. Harry",male,30,0,0,8.05,,S,Helsinki
159,0,"Smiljanic, Mr. Mile",male,NA,0,0,8.6625,,S,Helsinki
160,0,"Sage, Master. Thomas Henry",male,NA,8,2,69.55,,S,Helsinki
161,0,"Cribb, Mr. John Hatfield",male,44,0,1,16.1,,S,Helsinki
162,1,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40,0,0,15.75,,S,Pori
163,0,"Bengtsson, Mr. John Viktor",male,26,0,0,7.775,,S,Helsinki
164,0,"Calic, Mr. Jovo",male,17,0,0,8.6625,,S,Helsinki
165,0,"Panula, Master. Eino Viljami",male,1,4,1,39.6875,,S,Helsinki
166,1,"Goldsmith, Master. Frank John William ""Frankie""",male,9,0,2,20.525,,S,Helsinki
167,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,NA,0,1,55,E33,S,Tampere
168,0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,1,4,27.9,,S,Helsinki
169,0,"Baumann, Mr. John D",male,NA,0,0,25.925,,S,Tampere
170,0,"Ling, Mr. Lee",male,28,0,0,56.4958,,S,Helsinki
171,0,"Van der hoef, Mr. Wyckoff",male,61,0,0,33.5,B19,S,Tampere
172,0,"Rice, Master. Arthur",male,4,4,1,29.125,,Q,Helsinki
173,1,"Johnson, Miss. Eleanor Ileen",female,1,1,1,11.1333,,S,Helsinki
174,0,"Sivola, Mr. Antti Wilhelm",male,21,0,0,7.925,,S,Helsinki
175,0,"Smith, Mr. James Clinch",male,56,0,0,30.6958,A7,C,Tampere
176,0,"Klasen, Mr. Klas Albin",male,18,1,1,7.8542,,S,Helsinki
177,0,"Lefebre, Master. Henry Forbes",male,NA,3,1,25.4667,,S,Helsinki
178,0,"Isham, Miss. Ann Elizabeth",female,50,0,0,28.7125,C49,C,Tampere
179,0,"Hale, Mr. Reginald",male,30,0,0,13,,S,Pori
180,0,"Leonard, Mr. Lionel",male,36,0,0,0,,S,Helsinki
181,0,"Sage, Miss. Constance Gladys",female,NA,8,2,69.55,,S,Helsinki
182,0,"Pernot, Mr. Rene",male,NA,0,0,15.05,,C,Pori
183,0,"Asplund, Master. Clarence Gustaf Hugo",male,9,4,2,31.3875,,S,Helsinki
184,1,"Becker, Master. Richard F",male,1,2,1,39,F4,S,Pori
185,1,"Kink-Heilmann, Miss. Luise Gretchen",female,4,0,2,22.025,,S,Helsinki
186,0,"Rood, Mr. Hugh Roscoe",male,NA,0,0,50,A32,S,Tampere
187,1,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,NA,1,0,15.5,,Q,Helsinki
188,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45,0,0,26.55,,S,Tampere
189,0,"Bourke, Mr. John",male,40,1,1,15.5,,Q,Helsinki
190,0,"Turcin, Mr. Stjepan",male,36,0,0,7.8958,,S,Helsinki
191,1,"Pinsky, Mrs. (Rosa)",female,32,0,0,13,,S,Pori
192,0,"Carbines, Mr. William",male,19,0,0,13,,S,Pori
193,1,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,1,0,7.8542,,S,Helsinki
194,1,"Navratil, Master. Michel M",male,3,1,1,26,F2,S,Pori
195,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,0,0,27.7208,B4,C,Tampere
196,1,"Lurette, Miss. Elise",female,58,0,0,146.5208,B80,C,Tampere
197,0,"Mernagh, Mr. Robert",male,NA,0,0,7.75,,Q,Helsinki
198,0,"Olsen, Mr. Karl Siegwart Andreas",male,42,0,1,8.4042,,S,Helsinki
199,1,"Madigan, Miss. Margaret ""Maggie""",female,NA,0,0,7.75,,Q,Helsinki
200,0,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24,0,0,13,,S,Pori
201,0,"Vande Walle, Mr. Nestor Cyriel",male,28,0,0,9.5,,S,Helsinki
202,0,"Sage, Mr. Frederick",male,NA,8,2,69.55,,S,Helsinki
203,0,"Johanson, Mr. Jakob Alfred",male,34,0,0,6.4958,,S,Helsinki
204,0,"Youseff, Mr. Gerious",male,45.5,0,0,7.225,,C,Helsinki
205,1,"Cohen, Mr. Gurshon ""Gus""",male,18,0,0,8.05,,S,Helsinki
206,0,"Strom, Miss. Telma Matilda",female,2,0,1,10.4625,G6,S,Helsinki
207,0,"Backstrom, Mr. Karl Alfred",male,32,1,0,15.85,,S,Helsinki
208,1,"Albimona, Mr. Nassef Cassem",male,26,0,0,18.7875,,C,Helsinki
209,1,"Carr, Miss. Helen ""Ellen""",female,16,0,0,7.75,,Q,Helsinki
210,1,"Blank, Mr. Henry",male,40,0,0,31,A31,C,Tampere
211,0,"Ali, Mr. Ahmed",male,24,0,0,7.05,,S,Helsinki
212,1,"Cameron, Miss. Clear Annie",female,35,0,0,21,,S,Pori
213,0,"Perkin, Mr. John Henry",male,22,0,0,7.25,,S,Helsinki
214,0,"Givard, Mr. Hans Kristensen",male,30,0,0,13,,S,Pori
215,0,"Kiernan, Mr. Philip",male,NA,1,0,7.75,,Q,Helsinki
216,1,"Newell, Miss. Madeleine",female,31,1,0,113.275,D36,C,Tampere
217,1,"Honkanen, Miss. Eliina",female,27,0,0,7.925,,S,Helsinki
218,0,"Jacobsohn, Mr. Sidney Samuel",male,42,1,0,27,,S,Pori
219,1,"Bazzani, Miss. Albina",female,32,0,0,76.2917,D15,C,Tampere
220,0,"Harris, Mr. Walter",male,30,0,0,10.5,,S,Pori
221,1,"Sunderland, Mr. Victor Francis",male,16,0,0,8.05,,S,Helsinki
222,0,"Bracken, Mr. James H",male,27,0,0,13,,S,Pori
223,0,"Green, Mr. George Henry",male,51,0,0,8.05,,S,Helsinki
224,0,"Nenkoff, Mr. Christo",male,NA,0,0,7.8958,,S,Helsinki
225,1,"Hoyt, Mr. Frederick Maxfield",male,38,1,0,90,C93,S,Tampere
226,0,"Berglund, Mr. Karl Ivar Sven",male,22,0,0,9.35,,S,Helsinki
227,1,"Mellors, Mr. William John",male,19,0,0,10.5,,S,Pori
228,0,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0,0,7.25,,S,Helsinki
229,0,"Fahlstrom, Mr. Arne Jonas",male,18,0,0,13,,S,Pori
230,0,"Lefebre, Miss. Mathilde",female,NA,3,1,25.4667,,S,Helsinki
231,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,0,83.475,C83,S,Tampere
232,0,"Larsson, Mr. Bengt Edvin",male,29,0,0,7.775,,S,Helsinki
233,0,"Sjostedt, Mr. Ernst Adolf",male,59,0,0,13.5,,S,Pori
234,1,"Asplund, Miss. Lillian Gertrud",female,5,4,2,31.3875,,S,Helsinki
235,0,"Leyson, Mr. Robert William Norman",male,24,0,0,10.5,,S,Pori
236,0,"Harknett, Miss. Alice Phoebe",female,NA,0,0,7.55,,S,Helsinki
237,0,"Hold, Mr. Stephen",male,44,1,0,26,,S,Pori
238,1,"Collyer, Miss. Marjorie ""Lottie""",female,8,0,2,26.25,,S,Pori
239,0,"Pengelly, Mr. Frederick William",male,19,0,0,10.5,,S,Pori
240,0,"Hunt, Mr. George Henry",male,33,0,0,12.275,,S,Pori
241,0,"Zabour, Miss. Thamine",female,NA,1,0,14.4542,,C,Helsinki
242,1,"Murphy, Miss. Katherine ""Kate""",female,NA,1,0,15.5,,Q,Helsinki
243,0,"Coleridge, Mr. Reginald Charles",male,29,0,0,10.5,,S,Pori
244,0,"Maenpaa, Mr. Matti Alexanteri",male,22,0,0,7.125,,S,Helsinki
245,0,"Attalah, Mr. Sleiman",male,30,0,0,7.225,,C,Helsinki
246,0,"Minahan, Dr. William Edward",male,44,2,0,90,C78,Q,Tampere
247,0,"Lindahl, Miss. Agda Thorilda Viktoria",female,25,0,0,7.775,,S,Helsinki
248,1,"Hamalainen, Mrs. William (Anna)",female,24,0,2,14.5,,S,Pori
249,1,"Beckwith, Mr. Richard Leonard",male,37,1,1,52.5542,D35,S,Tampere
250,0,"Carter, Rev. Ernest Courtenay",male,54,1,0,26,,S,Pori
251,0,"Reed, Mr. James George",male,NA,0,0,7.25,,S,Helsinki
252,0,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,1,1,10.4625,G6,S,Helsinki
253,0,"Stead, Mr. William Thomas",male,62,0,0,26.55,C87,S,Tampere
254,0,"Lobb, Mr. William Arthur",male,30,1,0,16.1,,S,Helsinki
255,0,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41,0,2,20.2125,,S,Helsinki
256,1,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29,0,2,15.2458,,C,Helsinki
257,1,"Thorne, Mrs. Gertrude Maybelle",female,NA,0,0,79.2,,C,Tampere
258,1,"Cherry, Miss. Gladys",female,30,0,0,86.5,B77,S,Tampere
259,1,"Ward, Miss. Anna",female,35,0,0,512.3292,,C,Tampere
260,1,"Parrish, Mrs. (Lutie Davis)",female,50,0,1,26,,S,Pori
261,0,"Smith, Mr. Thomas",male,NA,0,0,7.75,,Q,Helsinki
262,1,"Asplund, Master. Edvin Rojj Felix",male,3,4,2,31.3875,,S,Helsinki
263,0,"Taussig, Mr. Emil",male,52,1,1,79.65,E67,S,Tampere
264,0,"Harrison, Mr. William",male,40,0,0,0,B94,S,Tampere
265,0,"Henry, Miss. Delia",female,NA,0,0,7.75,,Q,Helsinki
266,0,"Reeves, Mr. David",male,36,0,0,10.5,,S,Pori
267,0,"Panula, Mr. Ernesti Arvid",male,16,4,1,39.6875,,S,Helsinki
268,1,"Persson, Mr. Ernst Ulrik",male,25,1,0,7.775,,S,Helsinki
269,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58,0,1,153.4625,C125,S,Tampere
270,1,"Bissette, Miss. Amelia",female,35,0,0,135.6333,C99,S,Tampere
271,0,"Cairns, Mr. Alexander",male,NA,0,0,31,,S,Tampere
272,1,"Tornquist, Mr. William Henry",male,25,0,0,0,,S,Helsinki
273,1,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41,0,1,19.5,,S,Pori
274,0,"Natsch, Mr. Charles H",male,37,0,1,29.7,C118,C,Tampere
275,1,"Healy, Miss. Hanora ""Nora""",female,NA,0,0,7.75,,Q,Helsinki
276,1,"Andrews, Miss. Kornelia Theodosia",female,63,1,0,77.9583,D7,S,Tampere
277,0,"Lindblom, Miss. Augusta Charlotta",female,45,0,0,7.75,,S,Helsinki
278,0,"Parkes, Mr. Francis ""Frank""",male,NA,0,0,0,,S,Pori
279,0,"Rice, Master. Eric",male,7,4,1,29.125,,Q,Helsinki
280,1,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35,1,1,20.25,,S,Helsinki
281,0,"Duane, Mr. Frank",male,65,0,0,7.75,,Q,Helsinki
282,0,"Olsson, Mr. Nils Johan Goransson",male,28,0,0,7.8542,,S,Helsinki
283,0,"de Pelsmaeker, Mr. Alfons",male,16,0,0,9.5,,S,Helsinki
284,1,"Dorking, Mr. Edward Arthur",male,19,0,0,8.05,,S,Helsinki
285,0,"Smith, Mr. Richard William",male,NA,0,0,26,A19,S,Tampere
286,0,"Stankovic, Mr. Ivan",male,33,0,0,8.6625,,C,Helsinki
287,1,"de Mulder, Mr. Theodore",male,30,0,0,9.5,,S,Helsinki
288,0,"Naidenoff, Mr. Penko",male,22,0,0,7.8958,,S,Helsinki
289,1,"Hosono, Mr. Masabumi",male,42,0,0,13,,S,Pori
290,1,"Connolly, Miss. Kate",female,22,0,0,7.75,,Q,Helsinki
291,1,"Barber, Miss. Ellen ""Nellie""",female,26,0,0,78.85,,S,Tampere
292,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19,1,0,91.0792,B49,C,Tampere
293,0,"Levy, Mr. Rene Jacques",male,36,0,0,12.875,D,C,Pori
294,0,"Haas, Miss. Aloisia",female,24,0,0,8.85,,S,Helsinki
295,0,"Mineff, Mr. Ivan",male,24,0,0,7.8958,,S,Helsinki
296,0,"Lewy, Mr. Ervin G",male,NA,0,0,27.7208,,C,Tampere
297,0,"Hanna, Mr. Mansour",male,23.5,0,0,7.2292,,C,Helsinki
298,0,"Allison, Miss. Helen Loraine",female,2,1,2,151.55,C22 C26,S,Tampere
299,1,"Saalfeld, Mr. Adolphe",male,NA,0,0,30.5,C106,S,Tampere
300,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50,0,1,247.5208,B58 B60,C,Tampere
301,1,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,NA,0,0,7.75,,Q,Helsinki
302,1,"McCoy, Mr. Bernard",male,NA,2,0,23.25,,Q,Helsinki
303,0,"Johnson, Mr. William Cahoone Jr",male,19,0,0,0,,S,Helsinki
304,1,"Keane, Miss. Nora A",female,NA,0,0,12.35,E101,Q,Pori
305,0,"Williams, Mr. Howard Hugh ""Harry""",male,NA,0,0,8.05,,S,Helsinki
306,1,"Allison, Master. Hudson Trevor",male,0.92,1,2,151.55,C22 C26,S,Tampere
307,1,"Fleming, Miss. Margaret",female,NA,0,0,110.8833,,C,Tampere
308,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17,1,0,108.9,C65,C,Tampere
309,0,"Abelson, Mr. Samuel",male,30,1,0,24,,C,Pori
310,1,"Francatelli, Miss. Laura Mabel",female,30,0,0,56.9292,E36,C,Tampere
311,1,"Hays, Miss. Margaret Bechstein",female,24,0,0,83.1583,C54,C,Tampere
312,1,"Ryerson, Miss. Emily Borie",female,18,2,2,262.375,B57 B59 B63 B66,C,Tampere
313,0,"Lahtinen, Mrs. William (Anna Sylfven)",female,26,1,1,26,,S,Pori
314,0,"Hendekovic, Mr. Ignjac",male,28,0,0,7.8958,,S,Helsinki
315,0,"Hart, Mr. Benjamin",male,43,1,1,26.25,,S,Pori
